firstName,lastName,dateOfBirth,height,weight,primaryPosition,jerseyNumber,phone,email,bodyFat,fitnessScore,topSpeed,tackles,carries,tries,passAccuracy,currentStatus,coachingNotes
Jake,Thompson,1998-03-15,185,105,Hooker,2,+64 21 234 5678,jake.thompson@email.com,12,85,28.5,15,8,2,92,Available,Excellent lineout throwing
Mike,Wilson,1995-07-22,180,120,Prop,1,+64 21 456 7890,mike.wilson@email.com,15,78,25.2,18,12,1,88,Available,Strong scrummaging technique
Sam,Roberts,1999-11-08,195,115,Lock,4,+64 21 678 9012,sam.roberts@email.com,10,88,27.1,20,6,1,85,Minor Strain,Outstanding lineout work
Penaia,Cakobau,1998-05-10,185,105,Hookers,2,555-123-4567,penaia.cakobau@example.com,12.5,88,28.1,10,5,1,85,Minor Strain,Outstanding lineout work
Bryn,Gordon,1997-11-22,183,102,Hookers,16,555-234-5678,bryn.gordon@example.com,11.8,90,27.5,12,4,0,85.2,Active,Strong in scrum.
Shilo,Klein,1999-03-15,187,108,Hookers,1,555-345-6789,shilo.klein@example.com,13.1,87,28.9,9,6,2,88.1,Active,Good lineout throw.
Sam,Davies,1996-08-01,190,115,Props,3,555-456-7890,sam.davies@example.com,14,85,26,8,3,0,83.5,Active,Powerful ball carrier.
Tevita,Langi,1995-02-28,192,120,Props,17,555-567-8901,tevita.langi@example.com,15.2,83,25.5,7,2,0,79,Active,Solid in defence.
James,Lay,2000-07-07,188,112,Props,18,555-678-9012,james.lay@example.com,13.5,89,27,11,4,0,77.5,Active,Needs work on mobility.
Sione,Mafile’o,1993-09-03,191,118,Props,4,555-789-0123,sione.mafileo@example.com,14.8,86,26.5,9,3,0,81,Active,Promising new talent.
Tevita,Mafile’o,1994-01-19,189,116,Props,19,555-890-1234,tevita.mafileo@example.com,14.3,84,26.2,8,2,0,80.5,Active,Experienced and reliable.
Fatongia,Paea,1997-04-05,186,110,Props,5,555-901-2345,fatongia.paea@example.com,13,88,27.8,10,5,1,78.8,Active,Good work rate.
Karl,Tu’inukuafe,1992-10-12,193,125,Props,20,555-012-3456,karl.tuinukuafe@example.com,16,82,25,6,1,0,82,Active,Strong in contact.
Cam,Christie,1999-06-20,198,110,Locks,4,555-111-2222,cam.christie@example.com,10.5,91,29.5,13,6,0,76,Active,Dominant at scrum time.
James,Fiebig,2000-01-08,197,108,Locks,21,555-222-3333,james.fiebig@example.com,10.2,92,29.8,14,7,1,90.1,Active,Excellent aerial skills.
Ben,Grant,1998-09-25,200,112,Locks,6,555-333-4444,ben.grant@example.com,11,89,29,12,5,0,91.5,Active,High work rate.
Felix,Kalapu,1997-03-02,196,107,Locks,22,555-444-5555,felix.kalapu@example.com,10.8,90,29.3,11,6,0,89,Active,Good leadership.
Mahonri,Ngakuru,1996-12-18,195,106,Locks,7,555-555-6666,mahonri.ngakuru@example.com,10.7,91,29.1,13,5,0,89.5,Active,Strong in the breakdown.
Tristyn,Cook,2001-07-14,188,98,Loose Forwards,8,555-666-7777,tristyn.cook@example.com,9.5,93,31,15,8,2,90,Active,Consistent performer.
Talimoni,Finau,2002-02-09,187,97,Loose Forwards,23,555-777-8888,talimoni.finau@example.com,9.3,94,31.5,14,9,1,92,Active,High potential.
